Address,Price,Sold Date,Agent Phone
"1039 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,732,000",2025-10-23,N/A
"7754 FERNVALE RD, Fairview (255), TN","$2,000",2025-10-08,N/A
"502 CEDAR BROOK LN, Nolensville (535), TN","$93,000",2025-12-05,N/A
"411 MARSTON AVE, Spring Hill (701), TN",N/A,2025-12-01,N/A
"319 CANTON STONE DR, Franklin (263967), TN","$402,000",2025-11-10,N/A
"1121 BRANDON DR, Franklin (263264), TN","$51,000",2025-12-12,N/A
"1679 OLD HILLSBORO RD, Unincorporated (000), TN","$4,000",2025-11-07,N/A
"506 VERDE MEADOW DR, Franklin (263967), TN",N/A,2025-11-04,N/A
"1820 SONOMA TR, Brentwood (086), TN","$66,000",2025-11-24,N/A
"5212 MEAD PARK DR, Unincorporated (000), TN","$109,000",2025-11-07,N/A
"4206 WARREN CT, Unincorporated (000), TN","$216,000",2025-12-15,N/A
"9327 DOUBLE RUN CT, Unincorporated (000), TN","$15,048",2025-12-22,N/A
"1394 ROUND HILL LN, Spring Hill (701), TN",N/A,2025-11-24,N/A
"3230 NOLEN LN, Franklin (263967), TN","$1,119,000",2025-10-21,N/A
"307 DAKOTA DR, Spring Hill (701), TN","$13,000",2025-10-14,N/A
"303 DAKOTA DR, Spring Hill (701), TN","$11,000",2025-10-14,N/A
"503 DAKOTA DR, Spring Hill (701), TN","$20,000",2025-10-14,N/A
"1325 SHEPERD DR, Unincorporated (000), TN","$135,000",2025-10-14,N/A
"7102 COLQUITT WAY, Fairview (255), TN","$90,000",2025-12-02,N/A
"200 COOL SPRINGS BLVD, Franklin (263264), TN","$13,000",2025-11-10,N/A
"1059 DEEP WOODS TRL, Unincorporated (000), TN","$34,000",2025-11-10,N/A
"1001 DEEP WOODS TRL, Unincorporated (000), TN","$27,000",2025-11-10,N/A
"2101 BRANFORD PLACE 204, Thompson's Station (718), TN",N/A,2025-11-24,N/A
"1255 CHAMPIONSHIP BLVD, Franklin (263967), TN","$1,953,000",2025-10-08,N/A
"1937 ELIOT RD, Franklin (263967), TN","$2,326,000",2025-12-17,N/A
"6037 WHITMAN RD 302, Franklin (263967), TN",Unit 302,2025-10-10,N/A
"2812 CURACAO LN, Spring Hill (701), TN","$160,000",2025-12-10,N/A
"9813 EASTON DR, Brentwood (086), TN","$75,000",2025-12-19,N/A
"4000 ADDY WAY #B, Nolensville (535), TN","$4,000",2025-10-28,N/A
"1000 WYNN CIR, Franklin (263967), TN","$2,489,000",2025-10-10,N/A
"216 LAKE RIDGE CT, Unincorporated (000), TN","$213,000",2025-12-17,N/A
"5025 LAUGHING BROOK LN, Franklin (263967), TN","$31,000",2025-12-05,N/A
"7005 FARM FIELD DR, Unincorporated (000), TN",N/A,2025-10-17,N/A
"8215 VICTORY TRL, Brentwood (086), TN","$39,000",2025-11-20,N/A
"7205 BIRCH BARK DR, Fairview (255), TN","$86,000",2025-10-09,N/A
